Plot Number,Plant Number,Genotype,Stem Diameter,Tap Root dimeter,Overall,Nodule Size,Nodule Density,Number Adv/Up Roots,Lateral Root Denisty Adv/Up,Angle 1 Adv/Up,Angle 2 Adv/Up,Angle 3 Adv/Up,Angle 4 Adv/Up,Angle 5 Adv/Up,Number Lower Roots,Lateral Root Denisty Lower,Angle 1 Lower,Angle 2 Lower,Angle 3 Lower,Angle 4 Lower,Angle 5 Lower
1021,3,22,12,10,3,3,2,0,na,na,na,na,na,na,30,20,0,0,10,0,30
1021,4,22,11,8,3,3,3,1,15,10,na,na,na,na,22,18,10,10,0,30,20
1021,5,22,10,7,3,2,3,0,na,na,na,na,na,na,22,14,5,10,0,10,20
1022,1,7,13,10,3,3,2,0,na,na,na,na,na,na,26,20,20,20,0,0,20
1022,2,7,12,10,3,4,3,0,na,na,na,na,na,na,31,17,0,0,20,20,0
1022,3,7,11,8,3,3,2,0,na,na,na,na,na,na,18,17,0,0,10,0,20
1022,4,7,12,5,3,3,1,0,na,na,na,na,na,na,21,18,0,10,0,20,20
1022,5,7,13,5,4,3,4,0,na,na,na,na,na,na,31,18,20,0,10,10,10
1023,1,9,10,5,4,3,4,0,na,na,na,na,na,na,26,29,0,0,10,10,20
1023,2,9,8,5,3,3,4,5,15,0,10,10,20,20,16,18,0,10,40,0,0
1023,3,9,11,4,4,3,4,2,15,10,20,na,na,na,23,19,30,0,10,40,60
1023,4,9,10,8,3,3,4,0,na,na,na,na,na,na,27,14,0,0,0,20,10
1023,5,9,10,7,3,3,4,0,na,na,na,na,na,na,23,22,0,0,20,10,0
1024,1,2,20,15,2,3,1,6,16,40,40,60,70,20,18,13,0,0,0,10,5
1024,2,2,14,10,2,3,2,10,15,0,10,10,0,10,16,16,40,0,10,10,0
1024,3,2,13,8,4,3,3,15,21,0,20,0,0,20,8,15,0,20,30,20,30
1024,4,2,13,10,1,2,1,4,15,0,20,10,10,na,8,20,20,10,30,60,30
1024,5,2,18,10,1,3,1,3,14,10,0,40,na,na,15,11,10,10,0,20,25
2001,1,6,1,3,1,3,2,0,0,na,na,na,na,na,18,8,10,10,15,20,15
2001,2,6,8,7,2,3,2,0,0,na,na,na,na,na,25,7,10,20,30,35,10
2001,3,6,9,5,2,2,1,0,0,na,na,na,na,na,17,8,0,5,25,20,25
2001,4,6,8,5,2,2,1,0,0,na,na,na,na,na,15,6,0,10,20,25,15
2001,5,6,4,4,1,2,1,0,0,na,na,na,na,na,14,5,10,15,30,25,25
2002,1,16,7,4,3,3,4,0,na,na,na,na,na,na,17,8,0,0,0,0,30
2002,2,16,4,3,1,1,1,0,na,na,na,na,na,na,24,5,20,25,20,30,35
2002,3,16,9,5,4,3,4,0,na,na,na,na,na,na,24,8,20,40,25,30,35
2002,4,16,5,4,3,2,2,1,7,15,na,na,na,na,26,10,30,35,10,30,60
2002,5,16,4,3,1,1,1,1,3,0,na,na,na,na,16,4,10,35,65,55,50
2003,1,17,10,4,4,3,3,0,0,na,na,na,na,na,20,10,5,10,15,20,25
2003,2,17,10,8,3,3,2,0,0,na,na,na,na,na,15,7,0,0,10,10,15
2003,3,17,10,8,3,3,2,0,0,na,na,na,na,na,19,8,20,25,30,10,10
2003,4,17,7,6,2,2,1,0,0,na,na,na,na,na,16,8,0,0,10,15,20
2003,5,17,9,6,3,3,2,0,0,na,na,na,na,na,16,8,0,10,10,15,20
2004,1,9,10,5,3,4,3,0,0,na,na,na,na,na,16,8,15,20,15,20,25
2004,2,9,10,5,3,3,3,0,0,na,na,na,na,na,21,7,5,15,15,20,25
2004,3,9,10,6,3,3,3,0,0,na,na,na,na,na,21,8,10,15,20,25,30
2004,4,9,8,5,3,3,2,0,0,na,na,na,na,na,18,10,5,10,15,20,25
2004,5,9,5,4,1,2,2,0,0,na,na,na,na,na,14,6,20,20,25,25,30
2005,1,12,10,6,2,3,1,1,9,0,na,na,na,na,17,7,0,20,5,10,20
2005,2,12,13,7,3,3,2,1,8,0,na,na,na,na,15,7,0,0,5,5,5
